uk,ru,count
Влесенко,Влесенко,2
Биковська,Быковская,2
Балацюк,Балацюк,2
Цвик,Цвик,2
Шумейко,Шумейко,2
Акім,Аким,2
Гіренко,Гиренко,2
Зеніна,Зенина,2
Шкурацька,Шкурацька,2
Молдованов,Молдованов,2
Горніцька,Горницкая,2
Бєлоус,Белоус,2
Невський,Невский,2
Анастасія-Вікторія,Анастасия-Виктория,2
Мартиненкова,Мартыненкова,2
Охотницький,охотницкий,2
Доронюк,Доронюк,2
Васькова,Васькова,2
Ковиліна,Ковылина,2
Каган,Каган,2
Щьолокова,Щьолокова,2
Матишевська,Матышевская,2
Матишевська,Матишевская,1
Панькова,Панькова,2
Патрік-Орест,Патрик-Орест,2
Вінцевна,Винцевна,2
Ганна-Марія,Анна-Мария,2
Назлухалум,Назлухалум,2
Квітослава Надія,Квитослава Надежда,2
Лука Стефан,лука Стефан,2
Архіпова,Архипова,2
Зюбрицька,Зюбрицька,2
Мосіна,Мосина,2
Вавровська,Вавровская,2
Матей Борис,Матей Борис,2
Лора,Лора,2
Соломонов,Соломонов,2
Лотоцька-Гевко,Лотоцкая-Гевко,2
Гвоздикова,Гвоздичная,2
Гвоздікова,Гвоздикова,2
Недашківська,Недашковская,2
Гудченко,Гудченко,2
Сєчкіна,Сечкина,2
Чіжова,Чижова,2
Маія,маия,2
Будовіцька,Будовицкая,2
Щкребтій,Щкребтий,2
Шкребтій,Шкребтий,2
Нагурна,Нагурная,2
Марія-Ципора,Мария-Ципора,2
Дамаскіна,Дамаскина,2
Вількович,Вилькович,2
Курлова,Курлова,2
Бородкіна,Бородкина,2
Віколов,Виколов,2
Філіповська,Филипповская,2
Врублевський,Врублевский,2
Ардікуца,Ардикуца,2
Забудська,Забудская,2
Шмигельська,Шмигельская,2
Фрадкіна,Фрадкина,2
Захребеткіна,Захребеткина,2
Лизіна,Лизина,2
Катрич,Катрич,2
Борзунова,Борзунова,2
Бодьо,Бодьо,2
Скібіцка,Скибицка,2
Силюк,Силюк,2
Синельникова,Синельникова,2
Невинний,Невинный,2
Ротгайзер,Ротгайзер,2
Невмержицька,Невмержицкая,2
Сукманов,Сукманов,2
Мармер,Мармер,2
Гориславець,Гориславец,2
Суровцева,Суровцева,2
Сапожнікова,Сапожникова,2
Ткачова,Ткачева,2
Поправка,поправка,2
Будзинська,Будзинская,2
Рубець,рубец,2
Краснюк,Краснюк,2
Сінцова,Синцова,2
Самуїлович,Самуилович,2
Петровна,Петровна,2
Нетишенський,Нетишенский,2
Коваль Наталя,Коваль Наталья,2
Тіграновіч,Тигранович,2
Батіщев,Батищев,2
Черноіваненко,Черноиваненко,2
Буценко,Буценко,2
Танасіївна,Танасиевна,2
Синельников,Синельников,2
Пророк,пророк,2
Лобойко,Лобойко,2
Кишакевич,Кишакевич,2
Уркевич,Уркевич,2
Бущенко,Бущенко,2
Пільков,Пильков,2
Пєсков,Песков,2
Мамалуй,Мамалуй,2
Рувімівна,Рувимовна,2
Кібенко,Кибенко,2
Данішевська,Данишевская,2
Шарапа,Шарапа,2
Данилевич,Данилевич,2
Берназюк,Берназюк,2
Бевзенко,Бевзенко,2
Анцупова,Анцупова,2
Пощекайло,Пощекайло,2
Бєтєнєкова,Бетенекова,2
Янтуйко,Янтуйко,2
Однорог,Однорог,2
Годлевська,Годлевская,2
Очаківська,Очаковская,2
Тиченко,Тиченко,2
Пенкіна,Пенкин,2
Пенкіна,Пенкина,1
Резванов,Резванов,2
Євтухівна,Евтухивна,2
Юрьєвіч,Юрьевич,2
Путято-Гоцька,Путято-Гоцкий,2
Крамчанінова,Крамчанинова,2
Янна,Янна,2
Александроу,Александроу,2
"Γκαλινα Ακριτοβα Αλεξανδρου, Галина","Γκαλινα Ακριτοβα Αλεξανδρου, Галина",2
Акритова,Акритова,2
Володимір,Володимир,2
Крамчанінов,Крамчанинов,2
Ласікова,Ласикова,2
Рябкова,Рябкова,2
Вкторович,Вкторович,2
Тітус,Титус,2
Кістріна,Кистрина,2
Росєєва,Росеева,2
Сідлецька,Сидлецкая,2
Чернухіна,Чернухина,2
Александровський,Александровский,2
Александровська,Александровская,2
Булавінцева,Булавинцева,2
Вишнівська,Вишневская,2
Косянчук,Косянчук,2
Коренєва,Коренева,2
Матяшовська,Матяшовская,2
Косовська,Косовская,2
Дух,дух,2
Салова,Салова,2
Пасічна,Пасечная,2
Чагаровська,Чагаровская,2
Мірра,Мирра,2
Гоцька,Гоцкая,2
Амалія,Амалия,2
Кубарич,Кубарич,2
Кишинська,Кишинская,2
Крикавська,Крикавская,2
Орловській,орловский,2
Угринчук,Угринчук,2
Корзан,Корзан,2
Трасковська,Трасковська,2
Дмитрий,Дмитрий,2
Шушунова,Шушунова,2
Шерстяникова,Шерстяникова,2
Іраїда,Ираида,2
Сохнацька,Сохнацька,2
Сімонова,Симонова,2
Залєвська,Залевская,2
Діанна,Дианна,2
Андронівна,Андроновна,2
Юстинівна,Юстиновна,2
Гречішкіна,Гречишкина,2
Малачинська,Малачинская,2
Демчинська,Демчинская,2
Федоркова,Федоркова,2
Захаричева,Захарычева,2
Віцентина,Вицентина,2
Жичицька,Жичицька,2
Пантелеївни,Пантелеевна,2
Пантелеївни,Пантелеевны,1
Разумцева,Разумцева,2
Кудрявський,Кудрявский,2
Винарович,Винарович,2
Зелюкіна,Зелюкина,2
Девяткіна,Девяткина,2
Гречин,Гречин,2
Пясецька,Пясецкая,2
Лісімов,Лисимов,2
Фідяєва,Фидяева,2
Сілюков,Силюков,2
Вілянська,Вилянская,2
Кулигіна,Кулыгина,2
Кулигіна,Кулигина,1
Фролкова,Фролкова,2
Кшек,Кшек,2
Басел,Басел,2
Віталівна,Витальевна,2
Калінушна,Калинушна,2
Кавіцька,Кавицкая,2
Кавіцька,Кавицька,1
Курдалевська,Курдалевська,2
Малова,Малова,2
Дорофтеївна,Дорофтеивна,2
Аблова,Аблова,2
Замкова,Замковая,2
Бортновська,Бортновская,2
Слава,Слава,2
Думинська,Думинская,2
Кобиляцька,Кобыляцкая,2
Краснєєва,Краснеева,2
Степановна,Степановна,2
Демянівна,Демяновна,2
Гранкова,Гранкова,2
Олексїївна,Алексеевна,2
Христина-Розалія,Кристина-Розалия,2
Христина-Розалія,Христина-Розалия,1
Метлінська,Метлинская,2
Канаєва,Канаева,2
Сергієвич,Сергиевич,2
Анталовська,Анталовская,2
Парасунько,Парасунько,2
Сокиринська,Сокиринская,2
Кревський,Кревский,2
Котлярова,Котлярова,2
Вишньова,Вишнева,2
Єлизар,Елизар,2
Башкірова,Башкирова,2
Найдонов,Найдонов,2
Найдьонова,Найденова,2
Білець,Билец,2
Пилюченко,Пилюченко,2
Сударева,Сударева,2
Афанасьєвська,Афанасьевська,2
Пєткова,Петкова,2
Ющинська,Ющинская,2
Ризівна,Ризовна,2
Смільська,Смильская,2
Веретельнікова,Веретельникова,2
Мормило,Мормило,2
Бруцька,Бруцкая,2
Білінська,Билинская,2
Коржан,Коржан,2
Сарсенівна,Сарсеновна,2
Купрієвська,Куприевская,2
Константинівна,Константиновна,2
Кіктьова,Киктьова,2
Мамроцька,Мамроцька,2
Пустильна,Пустильна,2
Працюкова,Працюкова,2
Благовещенська,Благовещенска,2
Капустінська,Капустинская,2
Гаврікова,Гаврикова,2
Росовська,Росовская,2
Гвоздецька,Гвоздецкая,2
Єкатєріна,Екатерина,2
Жердєва,Жердева,2
Копчинська,Копчинская,2
Кошкаров,Кошкаров,2
Краснопєєва,Краснопеева,2
Стопчанська,Стопчанська,2
Єлінєвська,Елиневська,2
Третякова,Третьякова,2
Святецька,Святецкая,2
Євтіхієвич,Евтихиевич,2
Рудницька,Рудницкая,2
Ахоніна,Ахонина,2
Маркіна,Маркина,2
Зюзін,Зюзин,2
Зюзіна,Зюзина,2
Ілюшенко-Лур'є,Илюшенко-Лурье,2
Садовникова,Садовникова,2
Ртищева,Ртищева,2
Велікіна,Великина,2
Піменова,Пименова,2
Ричков,Рычков,2
Левківський,Левковский,2
Долгопят,Долгопят,2
Биструшкіна,Быструшкина,2
Симчишина,Симчишина,2
Загайнова,Загайнова,2
Труфен,Труфен,2
Субботіна,Субботина,2
Верховцева,Верховцева,2
Карчевська,Карчевская,2
Чурюканова,Чурюканова,2
Бура,бура,2
Віпаван,Випаван,2
Сорокопуд,сорокопуд,2
Купрєєва,Купреева,2
Оборкіна,Оборкина,2
Здебський,Здебский,2
Шкатова,Шкатова,2
Дмуховська,Дмуховская,2
Дмуховська,Дмуховска,1
Нарцизівна,Нарцизовна,2
Пікарська,Пикарская,2
Гостіщева,Гостищева,2
Галатиба,Галатиба,2
Ладані,Ладани,2
Кандиба,Кандыба,2
Хвичович,Хвичович,2
Хвичаївна,Хвичаевна,2
Одноценова,Одноценова,2
Мочалова,Мочалова,2
Прошкуратова,Прошкуратова,2
Картошкіна,Картошкина,2
Сергїївна,Сергеевна,2
Крайнєва,Крайнева,2
Явтушенко,Явтушенко,2
Андріів,Андриив,2
Петрікеєва,Петрикеева,2
Олесандр,Алесандр,2
Шавикіна,Шавыкина,2
Береговська,Береговская,2
Даря,Дарья,2
Бачинська,Бачинская,2
Гут,гут,2
Буянова,Буянова,2
Смичек,Смычек,2
Волканова,Волканова,2
Беркало,Беркало,2
Беззуба,беззубая,2
Цапок,Цапок,2
Рогоза,Рогоза,2
Курицька,Курицкая,2
Островерхова,Островерхова,2
Сюлєва,Сюлева,2
Нагорянська,Нагорянская,2
Олексієвич,Олексиевич,2
Слюсарова,Слюсарова,2
Фатхетдінова,Фатхетдинова,2
Проскуріна,Проскурина,2
Положенцева,Положенцева,2
Кащеєва,Кащеева,2
Михайлова-Горячева,Михайлова-Горячева,2
Дмитріевна,Дмитриевна,2
Ралко,Ралко,2
Андріяна,Андриана,2
Георгієвна,Георгиевна,2
Арександрович,Арександрович,2
Екатеріна,Екатерина,2
Мединська,Медынская,2
Мединська,мединская,1
Стебловська,Стебловская,2
Дмитровна,Дмитровна,2
Парасков'я,Парасковья,2
Ювеналій,Ювеналий,2
Маракуліна,Маракулина,2
Хачатурова,Хачатурова,2
Чемерська,ЧЕМЕРСКАЯ,2
Ковязіна,Ковязина,2
Карпінська,Карпинская,2
Трощенкова,Трощенкова,2
Дудукін,Дудукин,2
Шевелівна,Шевеловна,2
Юрьевіч,Юрьевич,2
Свістунов,Свистунов,2
Маряна-Марія,Марьяна-Мария,2
Маряна-Марія,Маряна-Мария,1
Куприянівна,Куприянивна,2
Васіна,Васина,2
Олександровна,олександровна,2
Григоровна,Григоровна,2
Снігірьова,Снигирева,2
Останкова,Останкова,2
Валєєва,Валеева,2
Дімова,Димова,2
Ізбаш,Избаш,2
Мудревська,Мудревська,2
Єйсмонт,Ейсмонт,2
Піць,Пиц,2
Піць,Пиць,1
Шийко,Шийко,2
Халік,Халик,2
Башкір,Башкир,2
Запталова,Запталова,2
Міцевська,Мицевская,2
Комнатна,комнатна,2
Анета,Анета,2
Сайпудинівна,Сайпудиновна,2
Прихожанова,Прихожанова,2
Мєшкова,Мешкова,2
Ольга-Єлизавета,Ольга-Елизавета,2
Скородинська,Скородинская,2
Дуботовк,Дуботовк,2
Віола,Виола,2
Букіна,Букина,2
Солтановський,Солтановский,2
Філевська,Филевская,2
Татяна,Татьяна,2
Ідрісова,Идрисова,2
Гульнара,Гульнара,2
Апостолова,Апостолова,2
Крупіков,Крупиков,2
Багриновська,Багриновская,2
Худа,Худая,2
Остудімова,Остудимова,2
Белоцька,Белоцька,2
Мішнаєвська,Мишнаевская,2
Чернишина,Чернишина,2
Смолярова,Смолярова,2
Безбородова,Безбородова,2
Корягіна,Корягина,2
Заярна,Заярная,2
Томчишина,Томчишина,2
Назарійович,Назариевич,2
Назарійович,Назарийович,1
Рудська,Рудская,2
Дергілева,Дергилева,2
Фріцис,Фрицис,2
Нехаєва - Олександрова,Нехаева - Александрова,2
Нехаєва - Олександрова,Нехаев - Александрова,1
Мартінс,Мартинс,2
Інесе,Инесе,2
Вецкагане,Вецкагане,2
Шмигальова,Шмыгалева,2
Хмелівська,Хмелевская,2
Лисакова,Лысакова,2
Жівотченко,Животченко,2
Ходорівська,Ходоровская,2
Німеровська,Нимеровская,2
Мочаєва,Мочаева,2
Полатайко,Полатайко,2
Рома,рома,2
Викторівна,Викторовна,2
Княженцева,Княженцева,2
Чикачова,Чикачова,2
Жулідова,Жулидова,2
Замогильна,Замогильная,2
Байдик,Байдык,2
Карбовська,Карбовская,2
Жанетта,Жанетта,2
Макарівська,Макаровская,2
Ошаріна,Ошарина,2
Зарічна,Заречная,2
Лапатіна,Лапатина,2
Фірсівна,Фирсивна,2
Софіко,Софико,2
Омарівна,Омаровна,2
Лалі,Лали,2
Аббасгулу Огли,Аббасгулу Оглы,2
Рафіг,Рафиг,2
Цвірков,Цвирков,2
Вівчаренко,Вивчаренко,2
Голембовська,Голембовская,2
Гасанівна,Гасановна,2
Заміра,Замира,2
Пчехан,Пчехан,2
Радіківна,Радикивна,2
Ісабекова,Исабекова,2
Заріна,Зарина,2
Радікович,Радикович,2
Рамазан,Рамазан,2
Юрьевич,Юрьевич,2
Бродзянский,Бродзянский,2
Бруснік,Брусник,2
Полегка,Полегка,2
Буряковська,Буряковская,2
Лазинська,Лазинська,2
Алібеківна,Алибековна,2
Кабалоєва,Кабалоева,2
Михайловна,Михайловна,2
Кладова,Кладовая,2
Дубініна,Дубинина,2
Арсенії,Арсении,2
Бражнікова,Бражникова,2
Бордун,Бордун,2
Отамась,Отамась,2
Солоділова,Солодилова,2
Євстахівна,Евстаховна,2
Чернишена,Чернишена,2
Єдуардівна,Эдуардовна,2
Єдуардівна,Едуардивна,1
Красносельська,Красносельская,2
Геннадієвна,Геннадиевна,2
Ярославська,Ярославская,2
Присяжна,Присяжная,2
Капустіна,Капустина,2
Онопрієнко-Капустіна,Оноприенко-Капустина,2
Рихло,рыхло,2
Ройтфельд,Ройтфельд,2
Липовецька,Липовецкий,2
Липовецька,Липовецкая,1
Іпполітова,Ипполитова,2
Лихошерст,Лихошерст,2
Неле,Неле,2
Анджела,Анджела,2
Дуфинець,Дуфинець,2
Едгард,Эдгард,2
Вікентьєва,Викентьева,2
Вікентьєв,Викентьев,2
Севера,Севера,2
Олександ,Александ,2
Черник,Черник,2
Міхайливна,Михайловна,2
Єлегіна,Елегина,2
Віллія,Виллия,2
Хурса,Хурса,2
Бордакова,Бордакова,2
Безрукова,Безрукова,2
Кузьмінова,Кузьминова,2
Елізавета,Елизавета,2
Єрмолайович,Ермолаевич,2
Лежанська,Лежанская,2
Зінковський,Зинковский,2
Гріцкова,Грицкова,2
Стремовський,Стремовский,2
Селівон,Селивон,2
Мельохіна,Мелехина,2
Косинська,Косинская,2
Анофрієва,Анофриев,2
Філімонович,Филимонович,2
Свиридовська,СВИРИДОВСКАЯ,2
Бобик,бобик,2
Тупальська,Тупальская,2
Ярушевська,Ярушевская,2
Аршаківна,Аршакивна,2
Рафіг Огли,Рафиг Оглы,2
Аббасов,Аббасов,2
Куницька,Куницкая,2
Миклайович,Миклайович,2
Ісрафіл Кизи,Исрафил Кызы,2
Ісрафіл Кизи,Исрафил Кизи,1
Зумруд,Зумруд,2
Рафіг Кизи,Рафиг Кизи,2
Фідан,Фидан,2
Рафігівна,Рафигивна,2
Аббасова,Аббасова,2
Светлана,Светлана,2
Валинтинівна,Валинтиновна,2
Женіківна,Женикивна,2
Людміла,Людмила,2
Прокопівна,Прокофьевна,2
Прокопівна,Прокопиевна,1
Кортенс,Кортенс,2
Рузіс,Рузис,2
Ліанна,Лианна,2
Соя,Соя,2
Раківська,Раковская,2
Балабанцева,Балабанцева,2
Корвін-Піотровська,Корвин-Пиотровская,2
Яровинська,Яровинская,2
Сергієвна,Сергеевна,2
Усата,Усата,2
Калинська,Калинская,2
Рябцева,Рябцева,2
Власишена,Власишена,2
Бахметьєв,Бахметьев,2
Хлудєєва,Хлудеева,2
Бахметьєва,Бахметьева,2
Владіслав,Владислав,2
Полшкова,Полшкова,2
Данила,Данила,2
Данила,Даниила,1
Шушарина,Шушарина,2
Кіріл,Кирилл,2
Асія,Ассия,2
Асія,Асия,1
Пашаєва,Пашаева,2
Пилипповна,Пилипповна,2
Євеліна,Евелина,2
Михаленко,Михаленко,2
Бескупська,Бескупская,2
Зоріна,Зорина,2
Скалозуб,Скалозуб,2
Ладік,Ладик,2
Аглая,Аглая,2
Аріана,Ариана,2
Аркадівна,Аркадьевна,2
Назімович,Назимович,2
Ільчишина,Ильчишина,2
Єфремович,Ефремович,2
КРІКБЕРГ,КРИКБЕРГ,2
Виталіївна,Витальевна,2
"Коте Соткілава, Соткилава","Котэ Соткилава, Соткилава",2
Котэ,котэ,2
Нетьосов,Нетесов,2
Супоровська,Супоровська,2
Яринка,Яринка,2
Нерета,Нерета,2
Койляк,Койляк,2
Ільніцький,Ильницкий,2
Варакута,Варакута,2
Оленцевич,Оленцевич,2
Лєдовських,Ледовских,2
Богданець,Богданец,2
Савенок,Савенок,2
Помазан,Помазан,2
Мєшков,Мешков,2
Прихожанов,Прихожанов,2
Друзюк,Друзюк,2
Ковпашко,Ковпашко,2
Бурунська,Бурунская,2
Бова,Бова,2
Ільтьо,Ильтьо,2
Каталіакоу,Каталиакоу,2
Крохмалюк,Крохмалюк,2
Байталюк,Байталюк,2
Белоцький,Белоцький,2
Антолійович,Антолийович,2
Лобан,Лобан,2
Токай,Токай,2
Кравченко-Скалозуб,Кравченко-скалозуб,2
Красильникова,Красильникова,2
Бескупський,Бескупский,2
Кюссе,Кюссе,2
Бурейко,Бурейко,2
Старух,старух,2
БРАСЛАВСЬКА,Браславская,2
ВЕЛИКОДНА,ВЕЛИКОДНАЯ,2
Малік,Малик,2
Мурахвер,Мурахвер,2
Третяков,Третьяков,2
Олексiйович,Алексеевич,2
Лєбєдєв,Лебедев,2
Венiамiн,Вениамин,2
ЛІЩЕНКО,ЛИЩЕНКО,2
Рябека,Рябека,2
Салютін,Салютин,2
Святенко,Святенко,2
Пузік,Пузик,2
Стогнiй,Стогний,2
Сергiй,Сергей,2
АМЕРІКАНОС,АМЕРИКАНОС,2
КАНІНГЕМ,Канингем,2
АЛАСТЕР МЕТЬЮ,АЛАСТЕР МЭТЬЮ,2
Лоташевський,Лоташевский,2
Вафадар,Вафадар,2
Реза,реза,2
Ганс-Петер,Ханс-Петер,2
Шаад,Шаад,2
Ханс-Петер,Ханс-Петер,2
Перцев,перцев,2
КАУР ДХЕСІ,каури ДХЕСИ,2
КАМАЛДЖІТ СОНЯ,КАМАЛДЖИТ СОНЯ,2
Анатолiй,Анатолий,2
Димінській,Дыминский,2
Лагур,Лагур,2
Керезь,Керезь,2
Ляпінш,Ляпинш,2
Ейбергер,Ейбергер,2
Посунся,Посунся,2
Рацкевич,Рацкевич,2
Загоріденко,Загориденко,2
Думбрава,Думбрава,2
Лозовенко,Лозовенко,2
Задорожнюк,Задорожнюк,2
Баньков,Баньков,2
Недопас,Недопас,2
Іванчо,Иванчо,2
Колтунова (Труханова),Колтунова(Труханова),2
Йозефович,Йозефович,2
Ричкова,Рычкова,2
Огнєвіч,Огневич,2
Нодарович,Нодарович,2
Мепарішвілі,Мепаришвили,2
Хвича,Хвича,2
Констанкевич,Констанкевич,2
Єдаков,Едаков,2
Велікін,Великин,2
Буглак,Буглак,2
Білоцерковець,Белоцерковец,2
Білозір,Билозир,2
Білозір,Белозор,1
Бендюженко,Бендюженко,2
Надал,Надал,2
Хомко,Хомко,2
Биструшкін,Быструшкин,2
Симчишин,Симчишин,2
Пушкар,Пушкарь,2
Райкович,Райкович,2
Сєнкевич,Сенкевич,2
Мануйлова,Мануйлова,2
Коснтянтин,Коснтянтин,2
Іозо,Иозо,2
Туровський,Туровский,2
Засько,Засько,2
Болоховець,Болоховець,2
Горохівський,Гороховский,2
Перепечай,Перепечай,2
Фендюр,Фендюр,2
Верес,Верес,2
Шако,Шако,2
Грачук,Грачук,2
Сасюк,Сасюк,2
Сапожнік,Сапожник,2
Курельчук,Курельчук,2
Сивун,Сивун,2
Пустильний,Пустильний,2
Мамроцький,Мамроцький,2
Войналович,Войналович,2
Чагаровський,Чагаровский,2
Пієв,Пиев,2
Кіктьов,Киктьов,2
Чапран,Чапран,2
Посошенко,Посошенко,2
Сороколіт,Сороколит,2
Салов,Салов,2
Кацалап,Кацалапов,2
Фізик,физик,2
Белеля,Белеля,2
Мелещук,Мелещук,2
Ониськевич,Ониськевич,2
Мисько,Мисько,2
Тихович,Тихович,2
Рябухін,Рябухин,2
Гиренко,Гиренко,2
Афанасьєвський,Афанасьевский,2
Юреско,Юреско,2
Гайдаш,Гайдаш,2
Дудич,Дудич,2
Борщ,Борщ,2
Косовський,Косовский,2
Ониськів,Ониськов,2
Сохнацький,Сохнацький,2
Мрочко,Мрочко,2
Матяшовський,Матяшовский,2
Федін,Федин,2
Пучек,пучек,2
Степурін,Степурин,2
Шафран,шафран,2
Гурій,Гурий,2
Ензель,Энзель,2
Слюсаров,Слюсаров,2
Бородаєв,Бородаев,2
Вітряк,Витряк,2
Коренєв,Коренев,2
Головецький,Головецкий,2
Калапац,Калапац,2
Чемерський,Чемерский,2
Носик,носик,2
Павлушенко,Павлушенко,2
Нусбаум,Нуссбаум,2
Севастянович,Севастьянович,2
Ейсмонт,Эйсмонт,2
Бадзян,Бадзян,2
Мудревський,Мудревский,2
Бєлянська,Белянская,2
Козодой,Козодой,2
Кошовий,Кошевой,2
Смільський,Смильский,2
Цикалов,Цикалов,2
Чернишен,Чернишен,2
Самолюк,Самолюк,2
Іщик,Ищик,2
Туревич,Туревич,2
Ющинський,Ющинский,2
Бендера,Бендера,2
Свиридюк,Свиридюк,2
Копильців,Копыльцив,2
Шипілов,Шипилов,2
Місан,Мисан,2
Дудоля,дудоля,2
Більницький,Бильницький,2
Чернухін,Чернухин,2
Фролков,Фролков,2
Рудськой,Рудськой,2
Перепелинська,Перепелинская,2
Баліоз,Балиоз,2
Стефаняк,Стефаняк,2
Кобза,кобза,2
Злобіна,Злобина,2
Половік,Половик,2
Здоровик,Здоровик,2
Стазілов,Стазилов,2
Пасюта,Пасюта,2
Шамро,Шамро,2
Загарович,Загарович,2
Забела,Забела,2
Фостолович,Фостолович,2
Климко,Климко,2
Шекель,шекель,2
Любка,Любка,2
Тучик,Тучик,2
Непотенко,Непотенко,2
Худий,худой,2
Тильний,Тыльный,2
Сілюкова,Силюкова,2
Набока,Набока,2
Ярославський,Ярославский,2
Фесак,Фесак,2
Неште,неште,2
Ольховик,Ольховик,2
Балагура,балагура,2
Мудрик,Мудрик,2
Лесніца,Лесница,2
Вержанський,Вержанский,2
Потенко,Потенко,2
Сідлецький,Сидлецкий,2
Мерва,Мерва,2
Неїлик,Неилик,2
Хомяк,Хомяк,2
Бузинний,Бузынный,2
Бузинний,Бузинный,1
Челак,Челак,2
Юханович,Юханович,2
Ассорі,ассори,2
Магомедович,Магомедович,2
Холомханов,Холомханов,2
Дуганчик,Дуганчик,2
Чижмар,Чижмарь,2
Данілович,Данилович,2
Гулевата,Гулеватая,2
